date,start_time,end_time,rail_line,event_type,fault_type,fault_category,source,OD1,OD2,OD3,OD4
"2015,01,14",8:00:00,,EWL,delay,train fault,internal,chinese garden,joo koon->dover,,,
"2015,12,31",6:45:00,,DTL,delay,train fault,internal,botanic gardens,botanic gardens,,,
"2017,08,04",22:39:00,,CCL,delay,train fault,internal,,kent ridge->haw par villa,,,
"2017,08,25",15:31:00,,CCL,delay,signal fault,internal,,harbourfront->caldecott,,,
"2017,08,25",12:44:00,,NSL,delay,signal fault,internal,ang mo kio,sembawang<->marina south pier,,,
"2017,09,22",16:44:00,,EWL,,train fault,internal,paya lebar,,,,
"2017,11,06",8:03:00,,NSL,delay,train fault,internal,,yishun->bishan,,,
"2017,11,07",7:43:00,,EWL,delay,track fault,internal,tiong bahru,jurong east->outram park,,,
"2017,11,09",7:30:00,,NSL,delay,train fault,internal,bishan,yio chu kang->marina south pier,,,
"2017,11,14",8:13:00,,NSL,delay,,unknown,,yishun->city hall,,,
"2017,11,18",17:00:00,,PGLRT,disruption,train fault,internal,,all,,,
"2017,11,20",15:57:00,,EWL,delay,train fault,internal,bedok,bedok->bugis,,,
"2017,11,21",21:49:00,,EWL,delay,track fault,internal,,jurong east<->joo koon,,,
"2017,11,21",,,NSL,,platform screen door fault,internal,orchard,orchard,,,
"2017,11,22",18:07:00,,EWL,delay,train fault,internal,clementi,queenstown->jurong east,,,
"2017,11,23",8:49:00,,EWL,delay,train fault,internal,outram park,pasir ris->joo koon,,,
"2017,11,27",18:39:00,,CCL,delay,train fault,internal,,"harbourfront<->marina bay,harbourfront<->dhoby ghaut",,,
"2017,11,30",18:14:00,,NSL,delay,train fault,internal,raffles place,jurong east<->marina south pier,,,
"2017,12,06",18:15:00,,EWL,delay,train fault,internal,,buona vista->joo koon,,,
"2017,12,07",8:34:00,,NSL,delay,signal fault,internal,,jurong east<->yishun,,,
"2017,12,07",8:19:00,,NSL,delay,train fault,internal,,bishan->toa payoh,,,
"2017,12,15",19:10:00,,NSL,delay,,unknown,,newton<->marina south pier,,,
"2017,12,21",7:50:00,8:00:00,DTL,delay,train fault,internal,,downtown->expo,,,
"2018,01,02",8:35:00,,EWL,delay,signal fault,internal,,jurong east<->pioneer,,,
"2018,01,03",18:53:00,,NSL,delay,train fault,internal,jurong east,choa chu kang<->jurong east,,,
"2018,01,04",19:40:00,,EWL,delay,track fault,internal,kallang,lavender->kallang,,,
"2018,01,08",19:47:00,,NSL,delay,train fault,internal,sembawang,jurong east<->sembawang,,,
"2018,01,12",8:27:00,,NSL,delay,,unknown,,jurong east<->marina south pier,,,
"2018,01,15",7:22:00,,EWL,delay,,unknown,,tiong bahru->jurong east,,,
"2018,01,23",9:24:00,,NSL,delay,,unknown,,jurong east<->marina south pier,,,
"2018,01,30",18:13:00,,NSL,delay,track fault,internal,woodlands,sembawang->marsiling,,,
"2018,02,03",9:26:00,,NSL,delay,signal fault,internal,,jurong east<->marina south pier,,,
"2018,02,06",9:19:00,,EWL,delay,platform screen door fault,internal,commonwealth,commonwealth,,,
"2018,02,06",18:15:00,,EWL,delay,train fault,internal,buona vista,buona vista->joo koon,,,
"2018,02,13",7:58:00,,NSL,delay,signal fault,internal,,dhoby ghaut->raffles place,,,
"2018,02,16",17:35:00,,EWL,delay,train fault,internal,chinese garden,buona vista->chinese garden,,,
"2018,03,02",9:10:00,,NSL,delay,train fault,internal,,city hall<->marina south pier,,,
"2018,03,02",9:10:00,,EWL,delay,train fault,internal,lavender,,,,
"2018,03,04",17:11:00,,NSL,delay,power fault,internal,kranji,jurong east<->kranji,,,
"2018,03,07",8:42:00,,NSL,delay,train fault,internal,ang mo kio,ang mo kio->marina south pier,,,
"2018,03,09",9:00:00,,EWL,delay,track fault,internal,tanah merah,pasir ris->paya lebar,,,
"2018,03,13",18:43:00,,EWL,delay,train fault,internal,,paya lebar->city hall,,,
"2018,03,14",15:37:00,,NSL,delay,signal fault,internal,,jurong east<->marina south pier,,,
"2018,03,19",19:02:00,,NEL,delay,track fault,internal,harbourfront,,,,
"2018,03,20",17:24:00,,EWL,delay,switch problem,internal,pasir ris,tampines<->pasir ris,,,
"2018,03,20",17:44:00,,EWL,delay,train fault,internal,,joo koon->jurong east,,,
"2018,03,23",17:54:00,,EWL,delay,train fault,internal,,joo koon->pasir ris,,,
"2018,04,06",9:03:00,,BPLRT,delay,train fault,internal,,all,,,
"2018,04,11",18:54:00,,CCL,delay,train fault,internal,,harbourfront<->bishan,,,
"2018,04,17",,,EWL,delay,train fault,internal,,tanjong pagar->eunos,,,
"2018,04,17",,,NSL,delay,train fault,internal,,somerset<->khatib,,,
"2018,04,19",,,EWL,delay,train fault,internal,,boon lay->jurong east,,,
"2018,04,26",7:42:00,,NSL,delay,train fault,internal,,jurong east->ang mo kio,,,
"2018,05,17",9:01:00,,EWL,delay,train fault,internal,,bugis->aljunied,,,
"2018,05,24",8:19:00,,DTL,delay,signal fault,internal,,bukit panjang<->expo,,,
"2018,05,25",8:41:00,,NSL,delay,train fault,internal,jurong east,jurong east<->marina south pier,,,
"2018,05,26",14:51:00,,NSL,delay,train fault,internal,bishan,ang mo kio->toa payoh,,,
"2018,05,30",17:00:00,,NSL,delay,platform screen door fault,internal,yio chu kang,yio chu kang,,,
"2018,05,30",6:28:00,,EWL,delay,track fault,internal,raffles place,tanjong pagar->raffles place,,,
"2018,06,04",7:45:00,,NSL,delay,track fault,internal,ang mo kio,jurong east->ang mo kio,,,
"2018,06,05",18:02:00,,EWL,delay,platform screen door fault,internal,clementi,jurong east->dover,,,
"2018,06,08",18:59:00,,EWL,delay,signal fault,internal,,joo koon<->pasir ris,,,
"2018,06,08",18:59:00,,NSL,delay,signal fault,internal,,jurong east<->marina south pier,,,
"2018,06,11",17:29:00,,EWL,delay,signal fault,internal,,joo koon<->pasir ris,,,
"2018,06,26",7:10:00,,NSL,delay,signal fault,internal,bishan,ang mo kio->orchard,,,
"2018,06,27",7:29:00,,NSL,delay,track fault,internal,woodlands,choa chu kang->admiralty,,,
"2018,06,29",16:19:00,,NSL,delay,platform screen door fault,internal,city hall,city hall,,,
"2018,07,01",8:27:00,,NSL,delay,signal fault,internal,,khatib->yio chu kang,,,
"2018,07,04",14:48:00,,NSL,delay,power fault,internal,jurong east,jurong east<->marina south pier,,,
"2018,07,04",16:10:00,,EWL,delay,track fault,internal,clementi,clementi->tuas link,,,
"2018,08,06",17:58:00,,EWL,delay,train fault,internal,tanah merah,pasir ris->eunos,,,
"2018,08,13",21:19:00,,NSL,delay,signal fault,internal,bukit gombak,bukit gombak->jurong east,,,
"2018,08,24",18:25:00,,EWL,delay,track fault,internal,pasir ris,tanah merah->pasir ris,,,
"2018,09,07",13:16:00,,EWL,delay,platform screen door fault,internal,buona vista,buona vista,,,
"2018,09,24",8:04:00,,EWL,delay,,unknown,,jurong east->pasir ris,,,
"2018,10,01",17:45:00,,EWL,delay,platform screen door fault,internal,jurong east,jurong east,,,
"2018,10,08",6:00:00,,NSL,delay,,unknown,,sembawang<->ang mo kio,,,
"2018,10,10",17:09:00,,NSL,delay,track fault,internal,ang mo kio,,,,
"2018,10,11",15:54:00,,NSL,delay,platform screen door fault,internal,kranji,woodlands<->jurong east,,,
"2018,10,15",8:31:00,,EWL,delay,platform screen door fault,internal,jurong east,jurong east,,,
"2018,10,25",20:51:00,,EWL,delay,platform screen door fault,internal,tampines,tampines,,,
"2018,11,01",6:58:00,,EWL,delay,track fault,internal,aljunied,,,,
"2018,11,05",8:42:00,,BPLRT,delay,track fault,internal,,all,,,
"2018,11,05",8:26:00,,CCL,delay,train fault,internal,,"harbourfront<->marina bay,harbourfront<->dhoby ghaut",,,
"2018,11,14",7:43:00,,BPLRT,disruption,,unknown,,all,,,
"2018,11,21",8:49:00,9:35:00,NSL,delay,,unknown,bukit batok,,,,
"2018,12,08",16:53:00,,EWL,delay,track fault,internal,jurong east,jurong east->pasir ris,,,
"2018,12,13",18:48:00,,EWL,delay,train fault,internal,jurong east,outram park->boon lay,,,
"2018,12,20",17:35:00,,NSL,delay,track fault,internal,sembawang,woodlands->yishun,,,
"2018,12,26",17:50:00,,NSL,delay,track fault,internal,choa chu kang,bukit gombak->choa chu kang,,,
"2018,12,31",6:34:00,,NSL,delay,track fault,internal,ang mo kio,yio chu kang->bishan,,,
"2019,01,02",14:51:00,,EWL,delay,train fault,internal,jurong east,lakeside->clementi,,,
"2019,01,08",7:56:00,,NSL,delay,platform screen door fault,internal,bukit batok,bukit batok,,,
"2019,01,08",12:25:00,,EWL,delay,train fault,internal,aljunied,bedok->bugis,,,
"2019,01,15",9:02:00,,NSL,delay,track fault,internal,khatib,sembawang->khatib,,,
"2019,01,21",22:10:00,23:10:00,BPLRT,disruption,train fault,internal,,counter-clockwise,,,
"2019,02,20",8:05:00,,DTL,delay,,unknown,bukit panjang,,,,
"2019,02,26",7:56:00,,EWL,delay,track fault,internal,,outram park->pasir ris,,,
"2019,03,14",14:55:00,,NSL,delay,platform screen door fault,internal,khatib,yishun->yio chu kang,,,
"2019,03,20",7:59:00,,EWL,delay,train fault,internal,buona vista,buona vista->pasir ris,,,
"2019,03,28",18:25:00,,NSL,delay,train fault,internal,jurong east,kranji<->jurong east,,,
"2019,04,03",7:52:00,9:00:00,EWL,delay,track fault,internal,,tuas link<->clementi,,,
"2019,04,04",19:30:00,,EWL,delay,train fault,internal,pasir ris,city hall->pasir ris,,,
"2019,04,09",11:03:00,,EWL,delay,track fault,internal,expo,tanah merah<->changi airport,,,
"2019,04,10",18:46:00,,NSL,delay,platform screen door fault,internal,jurong east,jurong east,,,
"2019,04,29",8:00:00,,NSL,delay,platform screen door fault,internal,bukit gombak,bukit gombak,,,
"2019,05,18",,,NSL,disruption,maintenance work,external,,woodlands<->ang mo kio,,,
"2019,05,19",,,NSL,disruption,maintenance work,external,,woodlands<->ang mo kio,,,
"2019,05,20",,,NSL,disruption,maintenance work,external,,woodlands<->ang mo kio,,,
"2019,05,31",7:48:00,7:54:00,NSL,delay,track fault,internal,ang mo kio,ang mo kio->marina south pier,,,
"2019,06,07",9:51:00,11:30:00,NSL,delay,power fault,internal,,novena<->braddell,,,
"2019,06,12",7:00:00,9:10:00,NSL,delay,train fault,internal,admiralty,ang mo kio<->kranji,,,
"2019,06,27",6:00:00,7:27:00,NEL,delay,system fault,internal,,harbourfront<->punggol,,,
"2019,07,03",8:50:00,,EWL,disruption(bypass),platform screen door fault,internal,dover,dover,,,
"2019,07,08",17:45:00,,NSL,delay,track fault,internal,yew tee,yew tee->kranji,,,
"2019,07,11",18:36:00,,NSL,delay,track fault,internal,marina south pier,city hall->marina south pier,,,
"2019,07,16",9:09:00,,DTL,delay,platform screen door fault,internal,newton,telok ayer->bendemeer,,,
"2019,10,22",8:32:00,,NSL,delay,platform screen door fault,internal,marsiling,marsiling,,,
"2019,11,02",6:03:00,,NSL,delay,train fault,internal,marsiling,,,,
"2019,11,27",18:44:00,,NSL,delay,track fault,internal,marsiling,marsiling->jurong east,,,
"2020,01,17",21:50:00,,EWL,disruption,train fault,internal,,kembangan->bedok,,,
"2020,03,01",12:59:00,,CCL,delay,signal fault,internal,,paya lebar->bishan,,,
"2020,03,03",9:05:00,,EWL,delay,platform screen door fault,internal,aljunied,tanah merah<->aljunied,,,
"2020,03,04",7:54:00,8:00:00,NSL,delay,train fault,internal,toa payoh,toa payoh->marina south pier,,,
