rail_line,fault,a,b,date_offset,date
EWL,train,22,29,14,"2015,01,14"
NSL,others,9,11,19,"2015,01,19"
NSL,track,14,15,23,"2015,01,23"
NSL,track,10,13,30,"2015,01,30"
NSL,train,24,26,34,"2015,02,03"
EWL,train,24,29,48,"2015,02,17"
NSL,others,5,6,54,"2015,02,23"
EWL,track,15,24,62,"2015,03,03"
NSL,track,5,6,77,"2015,03,18"
EWL,track,1,2,82,"2015,03,23"
EWL,train,9,12,86,"2015,03,27"
NSL,others,1,26,100,"2015,04,10"
NSL,track,1,11,105,"2015,04,15"
NSL,train,11,17,135,"2015,05,15"
NSL,train,25,26,166,"2015,06,15"
NSL,track,4,9,184,"2015,07,03"
NSL,power,1,26,188,"2015,07,07"
EWL,power,1,29,188,"2015,07,07"
NSL,power,1,26,189,"2015,07,08"
EWL,power,1,29,189,"2015,07,08"
EWL,train,23,29,204,"2015,07,23"
EWL,train,1,7,219,"2015,08,07"
NSL,track,11,14,225,"2015,08,13"
NSL,track,14,25,225,"2015,08,13"
NSL,train,1,11,265,"2015,09,22"
NSL,train,1,3,270,"2015,09,27"
EWL,track,4,4,273,"2015,09,30"
NSL,track,12,14,278,"2015,10,05"
EWL,train,1,28,278,"2015,10,05"
EWL,train,16,24,282,"2015,10,09"
EWL,train,19,23,288,"2015,10,15"
EWL,track,4,4,299,"2015,10,26"
NSL,train,1,26,300,"2015,10,27"
NSL,train,14,25,300,"2015,10,27"
EWL,track,1,2,301,"2015,10,28"
NSL,train,14,25,301,"2015,10,28"
NSL,train,11,26,327,"2015,11,23"
NSL,power,11,26,329,"2015,11,25"
NSL,track,10,11,335,"2015,12,01"
EWL,others,1,29,344,"2015,12,10"
EWL,power,27,29,351,"2015,12,17"
EWL,train,17,29,355,"2015,12,21"
EWL,track,23,29,363,"2015,12,29"
EWL,track,23,29,364,"2015,12,30"
NSL,others,6,8,374,"2016,01,09"
EWL,train,16,24,393,"2016,01,28"
NSL,train,19,23,411,"2016,02,15"
EWL,track,9,15,412,"2016,02,16"
EWL,train,24,29,415,"2016,02,19"
EWL,track,18,24,433,"2016,03,08"
EWL,track,4,9,443,"2016,03,18"
EWL,power,27,29,447,"2016,03,22"
EWL,train,8,24,465,"2016,04,09"
NSL,train,19,26,477,"2016,04,21"
EWL,power,12,29,481,"2016,04,25"
NSL,power,1,8,481,"2016,04,25"
NSL,others,6,8,482,"2016,04,26"
EWL,train,27,29,488,"2016,05,02"
NSL,train,17,26,489,"2016,05,03"
NSL,train,11,13,497,"2016,05,11"
NSL,power,8,10,540,"2016,06,23"
NSL,track,8,14,546,"2016,06,29"
NSL,track,12,15,560,"2016,07,13"
EWL,train,13,29,567,"2016,07,20"
NSL,train,25,26,568,"2016,07,21"
NSL,train,25,26,573,"2016,07,26"
EWL,door,1,12,578,"2016,07,31"
EWL,track,27,29,580,"2016,08,02"
NSL,track,8,11,580,"2016,08,02"
NSL,others,9,14,580,"2016,08,02"
NSL,track,11,14,584,"2016,08,06"
EWL,track,27,29,589,"2016,08,11"
NSL,track,16,26,594,"2016,08,16"
NSL,track,3,5,608,"2016,08,30"
EWL,track,7,16,645,"2016,10,06"
EWL,track,4,12,657,"2016,10,18"
EWL,train,19,24,660,"2016,10,21"
EWL,track,1,12,666,"2016,10,27"
EWL,train,16,19,672,"2016,11,02"
EWL,track,4,12,688,"2016,11,18"
EWL,signal,27,29,706,"2016,12,06"
EWL,track,13,24,706,"2016,12,06"
EWL,signal,1,16,714,"2016,12,14"
EWL,track,7,16,722,"2016,12,22"
EWL,power,9,16,723,"2016,12,23"
EWL,track,4,7,723,"2016,12,23"
EWL,track,23,27,735,"2017,01,04"
NSL,track,14,23,744,"2017,01,13"
EWL,track,23,29,750,"2017,01,19"
EWL,track,23,29,754,"2017,01,23"
NSL,train,19,26,772,"2017,02,10"
EWL,track,27,29,774,"2017,02,12"
NSL,train,1,15,775,"2017,02,13"
EWL,train,26,29,785,"2017,02,23"
EWL,train,1,4,805,"2017,03,15"
NSL,signal,10,15,818,"2017,03,28"
EWL,train,1,8,820,"2017,03,30"
NSL,train,1,4,821,"2017,03,31"
NSL,train,11,15,824,"2017,04,03"
EWL,door,4,12,831,"2017,04,10"
EWL,train,19,29,832,"2017,04,11"
NSL,track,12,15,839,"2017,04,18"
EWL,track,3,8,839,"2017,04,18"
NSL,train,11,15,842,"2017,04,21"
NSL,signal,14,26,855,"2017,05,04"
NSL,signal,25,26,879,"2017,05,28"
NSL,signal,1,4,880,"2017,05,29"
NSL,others,1,4,894,"2017,06,12"
EWL,track,13,22,896,"2017,06,14"
NSL,signal,1,26,910,"2017,06,28"
EWL,signal,29,33,910,"2017,06,28"
NSL,track,8,14,912,"2017,06,30"
EWL,train,24,29,917,"2017,07,05"
NSL,train,1,8,919,"2017,07,07"
EWL,signal,12,19,922,"2017,07,10"
EWL,train,23,29,924,"2017,07,12"
NSL,power,1,6,925,"2017,07,13"
EWL,power,19,33,925,"2017,07,13"
EWL,track,15,23,933,"2017,07,21"
EWL,power,1,29,937,"2017,07,25"
NSL,others,11,26,960,"2017,08,17"
NSL,others,10,26,961,"2017,08,18"
NSL,track,1,5,966,"2017,08,23"
NSL,signal,10,26,968,"2017,08,25"
EWL,track,18,24,973,"2017,08,30"
NSL,train,1,11,974,"2017,08,31"
NSL,signal,17,26,989,"2017,09,15"
EWL,track,1,4,1002,"2017,09,28"
NSL,train,1,4,1008,"2017,10,04"
NSL,track,15,17,1011,"2017,10,07"
NSL,track,11,17,1029,"2017,10,25"
NSL,track,14,15,1031,"2017,10,27"
EWL,track,19,24,1039,"2017,11,04"
NSL,train,11,15,1041,"2017,11,06"
EWL,track,16,24,1042,"2017,11,07"
NSL,train,13,26,1044,"2017,11,09"
NSL,train,11,14,1045,"2017,11,10"
EWL,train,12,19,1045,"2017,11,10"
EWL,train,1,17,1045,"2017,11,10"
NSL,others,11,23,1049,"2017,11,14"
EWL,train,24,29,1050,"2017,11,15"
NSL,others,1,26,1050,"2017,11,15"
EWL,train,29,33,1051,"2017,11,16"
EWL,train,5,12,1055,"2017,11,20"
EWL,track,24,29,1056,"2017,11,21"
NSL,door,20,20,1056,"2017,11,21"
EWL,train,19,24,1057,"2017,11,22"
EWL,train,1,29,1058,"2017,11,23"
NSL,train,1,26,1065,"2017,11,30"
EWL,train,21,29,1071,"2017,12,06"
NSL,signal,1,11,1072,"2017,12,07"
NSL,train,15,17,1072,"2017,12,07"
EWL,train,27,30,1072,"2017,12,07"
NSL,others,19,26,1080,"2017,12,15"
NSL,signal,4,8,1090,"2017,12,25"
EWL,signal,24,28,1098,"2018,01,02"
EWL,signal,4,4,1098,"2018,01,02"
NSL,train,1,4,1099,"2018,01,03"
EWL,track,10,11,1100,"2018,01,04"
NSL,train,1,10,1104,"2018,01,08"
EWL,track,12,16,1107,"2018,01,11"
NSL,others,1,26,1108,"2018,01,12"
EWL,others,17,24,1111,"2018,01,15"
NSL,others,1,26,1119,"2018,01,23"
NSL,track,7,10,1126,"2018,01,30"
NSL,signal,1,26,1130,"2018,02,03"
EWL,door,20,20,1133,"2018,02,06"
EWL,train,21,29,1133,"2018,02,06"
NSL,signal,14,24,1134,"2018,02,07"
NSL,signal,22,24,1140,"2018,02,13"
EWL,train,21,25,1143,"2018,02,16"
NSL,train,23,26,1157,"2018,03,02"
NSL,power,1,6,1159,"2018,03,04"
NSL,train,14,26,1162,"2018,03,07"
EWL,track,1,8,1164,"2018,03,09"
EWL,train,8,13,1168,"2018,03,13"
NSL,signal,1,26,1169,"2018,03,14"
EWL,others,1,2,1175,"2018,03,20"
EWL,train,24,29,1175,"2018,03,20"
EWL,train,1,29,1178,"2018,03,23"
EWL,track,24,29,1195,"2018,04,09"
EWL,train,7,15,1203,"2018,04,17"
NSL,train,12,21,1203,"2018,04,17"
EWL,track,1,2,1204,"2018,04,18"
EWL,train,24,27,1205,"2018,04,19"
NSL,train,1,15,1212,"2018,04,26"
NSL,door,14,22,1233,"2018,05,17"
EWL,train,9,12,1233,"2018,05,17"
EWL,train,19,27,1234,"2018,05,18"
NSL,train,1,26,1241,"2018,05,25"
